Column1;State;Year;Rape;Kidnap and assault;Dowry deaths;Assault on women;Assault on modesty;Domestic violence;Women trafficking;Population;;;;;;;;;;;
245;Andhra Pradesh;2008;1257;1396;556;4730;3551;10306;0;77520267;;;;;;;;;;;
246;Arunachal Pradesh;2008;42;47;0;72;1;13;0;1298200;;;;;;;;;;;
247;Assam;2008;1438;1789;103;1272;2;3478;0;29841000;;;;;;;;;;;
248;Bihar;2008;1302;1789;1210;999;21;1992;22;97706630;;;;;;;;;;;
249;Chhattisgarh;2008;978;216;106;1621;125;897;0;24131700;;;;;;;;;;;
250;Goa;2008;30;28;2;32;12;12;0;1425700;;;;;;;;;;;
251;Gujarat;2008;374;1119;27;828;122;6094;0;57509300;;;;;;;;;;;
252;Haryana;2008;631;644;302;435;605;2435;0;24089200;;;;;;;;;;;
253;Himachal Pradesh;2008;157;137;3;295;41;343;0;6628900;;;;;;;;;;;
254;Jammu & Kashmir;2008;219;656;21;935;296;162;0;11821900;;;;;;;;;;;
255;Jharkhand;2008;791;499;266;271;23;851;39;31175400;;;;;;;;;;;
256;Karnataka;2008;446;405;259;1954;44;2638;1;58621800;;;;;;;;;;;
257;Kerala;2008;568;166;31;2745;258;4138;0;32936500;;;;;;;;;;;
258;Madhya Pradesh;2008;2937;736;805;6445;758;3185;0;68943300;;;;;;;;;;;
259;Maharashtra;2008;1558;998;390;3619;1091;7829;0;107725500;;;;;;;;;;;
260;Manipur;2008;38;87;1;57;0;28;0;2687400;;;;;;;;;;;
261;Meghalaya;2008;88;25;2;54;4;32;0;2772600;;;;;;;;;;;
262;Mizoram;2008;77;1;0;78;0;5;0;1034600;;;;;;;;;;;
263;Nagaland;2008;19;7;0;15;1;4;0;1982300;;;;;;;;;;;
264;Odisha;2008;1113;762;401;2782;282;1618;0;40423300;;;;;;;;;;;
265;Punjab;2008;517;514;128;388;49;984;0;26727800;;;;;;;;;;;
266;Rajasthan;2008;1355;1863;439;2520;19;8113;0;64935700;;;;;;;;;;;
